Atrue,ntrue,atrue,dtrue,alpha,beta
800,1.1,50,20,0.1,-0.9
800,1.1,50,20,0.1,-0.8
800,1.1,50,20,0.1,-0.7
800,1.1,50,20,0.1,-0.6
800,1.1,50,20,0.1,-0.5
800,1.1,50,20,0.1,-0.4
800,1.1,50,20,0.1,-0.3
800,1.1,50,20,0.1,-0.2
800,1.1,50,20,0.1,-0.1
800,1.1,50,20,0.1,-0.0
800,1.1,50,20,0.1,0.1
800,1.1,50,20,0.1,0.2
800,1.1,50,20,0.1,0.3
800,1.1,50,20,0.1,0.4
800,1.1,50,20,0.1,0.5
800,1.1,50,20,0.1,0.6
800,1.1,50,20,0.1,0.7
800,1.1,50,20,0.1,0.8
800,1.1,50,20,0.1,0.9
800,1.1,50,20,0.2,-0.9
800,1.1,50,20,0.2,-0.8
800,1.1,50,20,0.2,-0.7
800,1.1,50,20,0.2,-0.6
800,1.1,50,20,0.2,-0.5
800,1.1,50,20,0.2,-0.4
800,1.1,50,20,0.2,-0.3
800,1.1,50,20,0.2,-0.2
800,1.1,50,20,0.2,-0.1
800,1.1,50,20,0.2,-0.0
800,1.1,50,20,0.2,0.1
800,1.1,50,20,0.2,0.2
800,1.1,50,20,0.2,0.3
800,1.1,50,20,0.2,0.4
800,1.1,50,20,0.2,0.5
800,1.1,50,20,0.2,0.6
800,1.1,50,20,0.2,0.7
800,1.1,50,20,0.2,0.8
800,1.1,50,20,0.2,0.9
800,1.1,50,20,0.3,-0.9
800,1.1,50,20,0.3,-0.8
800,1.1,50,20,0.3,-0.7
800,1.1,50,20,0.3,-0.6
800,1.1,50,20,0.3,-0.5
800,1.1,50,20,0.3,-0.4
800,1.1,50,20,0.3,-0.3
800,1.1,50,20,0.3,-0.2
800,1.1,50,20,0.3,-0.1
800,1.1,50,20,0.3,-0.0
800,1.1,50,20,0.3,0.1
800,1.1,50,20,0.3,0.2
800,1.1,50,20,0.3,0.3
800,1.1,50,20,0.3,0.4
800,1.1,50,20,0.3,0.5
800,1.1,50,20,0.3,0.6
800,1.1,50,20,0.3,0.7
800,1.1,50,20,0.3,0.8
800,1.1,50,20,0.3,0.9
800,1.1,50,20,0.4,-0.9
800,1.1,50,20,0.4,-0.8
800,1.1,50,20,0.4,-0.7
800,1.1,50,20,0.4,-0.6
800,1.1,50,20,0.4,-0.5
800,1.1,50,20,0.4,-0.4
800,1.1,50,20,0.4,-0.3
800,1.1,50,20,0.4,-0.2
800,1.1,50,20,0.4,-0.1
800,1.1,50,20,0.4,-0.0
800,1.1,50,20,0.4,0.1
800,1.1,50,20,0.4,0.2
800,1.1,50,20,0.4,0.3
800,1.1,50,20,0.4,0.4
800,1.1,50,20,0.4,0.5
800,1.1,50,20,0.4,0.6
800,1.1,50,20,0.4,0.7
800,1.1,50,20,0.4,0.8
800,1.1,50,20,0.4,0.9
800,1.1,50,20,0.5,-0.9
800,1.1,50,20,0.5,-0.8
800,1.1,50,20,0.5,-0.7
800,1.1,50,20,0.5,-0.6
800,1.1,50,20,0.5,-0.5
800,1.1,50,20,0.5,-0.4
800,1.1,50,20,0.5,-0.3
800,1.1,50,20,0.5,-0.2
800,1.1,50,20,0.5,-0.1
800,1.1,50,20,0.5,-0.0
800,1.1,50,20,0.5,0.1
800,1.1,50,20,0.5,0.2
800,1.1,50,20,0.5,0.3
800,1.1,50,20,0.5,0.4
800,1.1,50,20,0.5,0.5
800,1.1,50,20,0.5,0.6
800,1.1,50,20,0.5,0.7
800,1.1,50,20,0.5,0.8
800,1.1,50,20,0.5,0.9
800,1.1,50,20,0.6,-0.9
800,1.1,50,20,0.6,-0.8
800,1.1,50,20,0.6,-0.7
800,1.1,50,20,0.6,-0.6
800,1.1,50,20,0.6,-0.5
800,1.1,50,20,0.6,-0.4
800,1.1,50,20,0.6,-0.3
