casename,A_true,n_true,a_true,alpha,beta,A_est,n_est,a_est,alpha_est,beta_est
case0,800.0,1.1,50.0,0.1,-0.9,799.5625445357782,1.1002028468604408,49.948888391322214,0.10470630835587036,-0.8991179764913436
case1,800.0,1.1,50.0,0.1,-0.8,799.0796113120192,1.1008118325077467,49.87151594679913,0.10241695015352188,-0.7971006050113476
case2,800.0,1.1,50.0,0.1,-0.7,798.6241087875783,1.1012559227391747,49.80705239740364,0.10045493429438421,-0.6952520898208852
case3,800.0,1.1,50.0,0.1,-0.6,798.1866474844984,1.1016220127113718,49.74849476690217,0.09845212851363934,-0.5933118696643297
case4,800.0,1.1,50.0,0.1,-0.5,797.7573588195231,1.101933755855397,49.69372105198525,0.0960064923009299,-0.49088305571974045
case5,800.0,1.1,50.0,0.1,-0.4,797.33863387007,1.1021938396058937,49.64264290282628,0.09243745972531144,-0.3873123544632968
case6,800.0,1.1,50.0,0.1,-0.3,796.9331387041286,1.102401983704599,49.59529967002624,0.08564299763815948,-0.2805252547998857
case7,800.0,1.1,50.0,0.1,-0.2,796.5350521168958,1.1025598124150722,49.55124561911943,0.0647688319063784,-0.159635429937023
case8,800.0,1.1,50.0,0.1,-0.1,796.1428531278439,1.1026858422699743,49.50949877700068,0.63036826773474,-0.6248718459918171
case9,800.0,1.1,50.0,0.1,-0.0,795.7582368378418,1.102795369397075,49.46838597352988,0.1424330859784207,-0.037272527042116345
case10,800.0,1.1,50.0,0.1,0.1,795.3680909731041,1.102913101711103,49.42654520730258,0.12523049449036816,0.0799326282926436
case11,800.0,1.1,50.0,0.1,0.2,794.9727269957813,1.1030547925178664,49.382842705393045,0.11986555666665348,0.18528217279637282
case12,800.0,1.1,50.0,0.1,0.3,794.5704785269501,1.103227766903088,49.33681419181328,0.11761650665296902,0.2874974359671972
case13,800.0,1.1,50.0,0.1,0.4,794.1600783261448,1.1034332034410619,49.28804292501804,0.11658833469491862,0.38848053312008207
case14,800.0,1.1,50.0,0.1,0.5,793.7502616368615,1.1036254793669655,49.24029820775376,0.11601964588375484,0.48899722105572446
case15,800.0,1.1,50.0,0.1,0.6,793.356066321231,1.1037291773336886,49.198619588627295,0.11539955110606792,0.5895884410855724
case16,800.0,1.1,50.0,0.1,0.7,792.997120052579,1.1036120843241037,49.17103611209656,0.11431423066269002,0.6907047941633738
case17,800.0,1.1,50.0,0.1,0.8,792.7287547335948,1.1030326085628577,49.176101565649454,0.11249576156372082,0.7926810195482382
case18,800.0,1.1,50.0,0.1,0.9,792.5076351271268,1.1020627228139535,49.20531392011974,0.11003944697618888,0.8955033555056138
case19,800.0,1.1,50.0,0.2,-0.9,799.5084163075692,1.1002391903765403,49.941817653581964,0.20511523101836066,-0.8992855470938544
case20,800.0,1.1,50.0,0.2,-0.8,798.9665797173706,1.1009075908773727,49.85602754917505,0.20282330546361318,-0.7973708642501808
case21,800.0,1.1,50.0,0.2,-0.7,798.4601533655783,1.1013942428806849,49.78470498930833,0.20065939159315738,-0.6954068251652639
case22,800.0,1.1,50.0,0.2,-0.6,797.9708141551667,1.1017793837442058,49.720673573874336,0.19824580283241183,-0.593081961651176
case23,800.0,1.1,50.0,0.2,-0.5,797.4946102330152,1.1020995132391578,49.66131557464953,0.19489515661672194,-0.48976978461886406
case24,800.0,1.1,50.0,0.2,-0.4,797.0337686414518,1.1023571575972893,49.60648902036965,0.1888551717860629,-0.3837532637717466
case25,800.0,1.1,50.0,0.2,-0.3,796.5839403167339,1.1025471709482502,49.556226528425874,0.1711781588379238,-0.2660563737366896
case26,800.0,1.1,50.0,0.2,-0.2,796.1461561571052,1.1026769486391619,49.50980382911595,0.005158605253731304,1.7075981702045655e-37
case27,800.0,1.1,50.0,0.2,-0.1,795.7162032422755,1.102785042981278,49.465282405055554,0.23680438074364468,-0.1316555903722059
case28,800.0,1.1,50.0,0.2,-0.0,795.2856997303263,1.1028790680441705,49.42105088637507,0.22173687142339038,-0.01656861412470625
case29,800.0,1.1,50.0,0.2,0.1,794.8388071588855,1.1030580220802906,49.37215107621526,0.2973012700828426,-2.8627768182083756e-22
case30,800.0,1.1,50.0,0.2,0.2,794.4094791560474,1.1031386392309273,49.32660160174806,0.2148969100541007,0.19022789285510924
case31,800.0,1.1,50.0,0.2,0.3,793.9578248932156,1.1033239317181853,49.2751884301311,0.21405223240951612,0.2909908259352645
case32,800.0,1.1,50.0,0.2,0.4,793.4989949590954,1.1035358202426837,49.22173140612263,0.21378560004908026,0.39113997090778835
case33,800.0,1.1,50.0,0.2,0.5,793.0282747068736,1.103752216302705,49.166305479605036,0.21372016580638822,0.4910654467752283
case34,800.0,1.1,50.0,0.2,0.6,792.5945672861693,1.103817725345381,49.12293121592335,0.2135522175322302,0.5911319410609789
